Yuya,88,1,1,1,1,1,2.1
Mahirper,914,,5,20,1,14,3
Kha,256,,2,5,1,,4.1
Merit,160,,,4,,,4.2
Nakht,36,,,,1,,5
Khay,36,,,,1,,6
Hatnofer,184,,,3,1,14,8
Neferkhewet,92,,,1,1,8,9
Renofer,94,,,2,,7,9.1
Boki,38,,,,1,1,9.3
Ruyu,88,,,1,1,6,9.4
Amenemhet,42,,,1,,1,9.5
Hatiay,120,2,,2,1,2,10.05
Hentut'u,80,1,,1,1,2,10.1
Siamun,52,,,1,,6,10.2
Mahy(?),2,,,,,1,10.3
Setau,40,,,1,,,11.1
Taat,40,,,1,,,11.2
SetauAnon,116,,1,2,,13,11.4
SetauInfant,40,,,1,,,11.5
Sennofer,118,1,,2,1,1,12.1
Nefertiti,200,,,5,,,12.2
N Woman,40,,,1,,,13.1
M+,6,,,,,3,14
Nub,106,,,2,,13,15
DeM 1380,194,,,3,,37,17
DeM 1381,52,,,1,,6,18
Nubeity,46,,,1,,3,19.05
Sat-Re',52,,,1,,6,20.1
DeM 1389,48,,,1,,4,21
Petrie,404,,,10,,2,7
Amenhotep,48,,,1,,4,22.1
Sn Woman old ,2,,,,,1,22.3
HatnoferIII 2f 2c,96,,,2,,8,23
NeferkhewetX,2,,,,,1,24.3
Mentuhotep,2,,,,,1,28
#71 f,2,,,,,1,27.4
#75 f,2,,,,,1,27.5
#83a c,80,,,2,,,36.1
#78 f,166,,,4,,3,30.2
#77a m,40,,,1,,,30.15
#79 f,40,,,1,,,30.3
Tahuty,52,1,1,1,,1,32.1
Ahotep,40,,,,1,2,32.2
T&A,2,,,,,1,32
# 21 m,40,,,1,,,33.1
# 22 f,4,,,,,2,33.2
# 31 c,8,,,,,4,33.3
# 34 ?,2,,,,,1,33.4
# 36 ?,2,,,,,1,33.5
# 37 f,2,,,,,1,33.6
# 38 ?,2,,,,,1,33.7
# 43 c,2,,,,,1,33.8
# 47 f,10,,,,,5,33.9
# 49 m f,2,,,,,1,34.1
# 50 c,42,1,,1,,1,34.2
# 51 c,40,,,1,,,34.3
# 52 f,4,,,,,2,34.4
# 53 m,130,,,3,,5,34.5
# 55 2? c,4,,,,,2,34.6
# 57 3?,4,,,,,2,34.7
# 59 f m c ?,4,,,,,2,34.8
# 62a c,18,,1,,,4,34.91
# 63a f,4,,,,,2,35.11
# 64 m,40,,,1,,,35.2
Tutankhamen,12316,107,,307,1,,1
Tuya,154,1,4,1,2,1,2.2
NuWoman,124,,,3,,2,19.2
NuMan,,,,,,,19.1
Nu+,30,,,,,15,19
Maya,12,,,,,6,14.1
M Man,2,,,,,1,14.2
Iabtina,,,,,,,16.1
Sanimay,16,,,,,8,16.2
SR+,2,,,,,1,20
HatnoferIV f c,48,,,1,,4,23.1
# 59a f,6,,,,,3,34.81
# 59d ?,4,,,,,2,34.82
# 62b ?,4,,,,,2,34.92
#76 f,2,,,,,1,27.6
#83b c,6,,,,,3,36.2
#83c c,4,,,,,2,36.3
DeM 1376,10,,,,,5,21.5
DeM 1373,2,,,,,1,21.2
DeM 1372a,8,,,,,4,21.11
DeM 1372c,2,,,,,1,21.13
#18 ?,42,,,1,,1,31
