tomb	mumm	rishi	chest	qual1	qual2	qual3	total_cost	rank	qual4	basket/mat	qual5
Yuya	3m		1m	2.0	2.0		590.0	2.1			
Tuya	2f		1f	2.0	1.0		495.0	2.2			
Mahirper	3m		1m	2.0	2.0		590.0	3.0			
K&M								4.0			
Merit	1f		1f	1.0	1.0		295.0	4.2			
Nakht		1m	1m		1.0	1.0	135.0	5.0			
Khay		1m			1.0		95.0	6.0			
Hatnofer	1m				1.0		95.0	8.0			
Neferkhewet	1m				1.0		95.0	9.0			
Hatiay	1m				1.0		95.0	10.05			
S+								11.0			
S&N								12.0			
N Man	1m				1.0		95.0	13.0			
M+								14.0			
Nub	1f					1.0	40.0	15.0			
I+								16.0			
DeM 1380	1f					1.0	40.0	17.0			
DeM 1381	1f					1.0	40.0	18.0			
Nubeity			1f			1.0	40.0	19.05			
SR+								20.0			
DeM 1389	1m					1.0	40.0	21.0			
Harmose	1m					1.0	40.0	22.0			
HatnoferIII 2f 2c			1#				20.0	23.0	1.0		
NeferkhewetVIII			1f				20.0	24.0	1.0		
Mentuhotep			1		1.0		95.0	28.0			
Aahmes			1		1.0		95.0	29.0			
Tahuty	1				1.0		95.0	32.1			
Ahotep	1				1.0		95.0	32.2			
Tutankhamen		3m	1m	200.0	70.0		46650.0	1.0			
Renofer		1f			1.0		95.0	9.1			
Boki	1m				1.0		95.0	9.3			
Ruyu	1f				1.0		95.0	9.4			
Amenemhet	1m				1.0		95.0	9.5			
Hentut�u	1f				1.0		95.0	10.1			
Siamun	1f				1.0		95.0	10.2			
Mahy	1f				1.0		95.0	10.3			
Taat	1f				1.0		95.0	11.2			
SetauAnon	1f				1.0		95.0	11.4			
SetauInfant 	1				1.0		95.0	11.5			
Bakiset	1f				1.0		95.0	11.3			
N Woman  			1f		1.0		95.0	13.1			
M Man			1m			1.0	40.0	14.2			
Sanimay			1m			1.0	40.0	16.2			
NuMan			1m			1.0	40.0	19.1			
NuWoman			1f			1.0	40.0	19.2			
Sat-Re'			1f			1.0	40.0	20.1			
Amenhotep			1m			1.0	40.0	22.1			
Sn Woman	1f					1.0	40.0	22.2			
Sn Woman old			1f			1.0	40.0	22.3			
HatnoferIV f c			1#				20.0	23.1	1.0		
NeferkhewetVII			1c				20.0	24.1	1.0		
NeferkhewetIX			1c				20.0	24.2	1.0		
Ramose	1m				1.0		95.0	8.1			
Y&T								2.0			
Kha	2m		1m	2.0	1.0		495.0	4.1			
Setau	1m				1.0		95.0	11.1			
Sennofer	1m				1.0		95.0	12.1			
Nefertiti	1f 				1.0		95.0	12.2			
Maya	1f					1.0	40.0	14.1			
Iabtina	1f					1.0	40.0	16.1			
SRWoman			1f			1.0	40.0	20.2			
B+								9.2			
H+								10.0			
Nu+								19.0			
T&A								32.0			
#21 m							20.0	33.1	1.0		
#22 f							20.0	33.2	1.0		
#31 c							20.0	33.3	1.0		
#34 ?							20.0	33.4	1.0		
#36 ?							20.0	33.5	1.0		
#37 f							20.0	33.6	1.0		
#38 ?							20.0	33.7	1.0		
#43 c							20.0	33.8	1.0		
#47 f							20.0	33.9	1.0		
#49 m f							20.0	34.1	1.0		
#50 c							20.0	34.2	1.0		
#51 c							20.0	34.3	1.0		
#52 f							20.0	34.4	1.0		
#53 m							20.0	34.5	1.0		
#55 2? c							20.0	34.6	1.0		
#57 3?							20.0	34.7	1.0		
#59 f m c ?						1.0	40.0	34.8			
#62 2? c							20.0	34.9	1.0		
#63 f m						1.0	40.0	35.1			
#64 m							20.0	35.2	1.0		
Petrie		1f			1.0		95.0	7.0			
#68 m	1					1.0	40.0	27.1			
#77 m 2c			1				20.0	30.1	1.0		
#78 f			1				20.0	30.2	1.0		
#83 3c							20.0	36.0	1.0		
#59a f								34.81			
#59d ?								34.82			
#62a c								34.91			
#62b ?								34.92			
#63a f								35.11			
#66 m						1.0	40.0	35.4			
#65 m f							20.0	35.3	1.0		
#65a f								35.31			
#18 ?	1					1.0	40.0	31.0			
#69 f			1				20.0	27.2	1.0		
#70 f		1				1.0	40.0	27.3			
#71 f			1				20.0	27.4	1.0		
#75 f			1				20.0	27.5	1.0		
#76 f			1				20.0	27.6	1.0		
#79 f			1				20.0	30.3	1.0		
#80 c			1				20.0	30.4	1.0		
#77a m								30.15			
#83a c								36.1			
#83b c								36.2			
#83c c								36.3			
#67 c			1				20.0	35.5	1.0		
#60 f		1				1.0	40.0	34.85			
#61 c			1				20.0	34.86	1.0		
#58 m							20.0	34.75	1.0		
#56 c							20.0	34.65	1.0		
#48 m							20.0	33.95	1.0		
#44 c							20.0	33.85	1.0		
#45 c							20.0	33.86	1.0		
#46 m							20.0	33.87	1.0		
#40 c							20.0	33.75	1.0		
#41 c							20.0	33.76	1.0		
#42 c							20.0	33.77	1.0		
#35 ?						1.0	40.0	33.45			
#29 c							20.0	33.25	1.0		
#30 c							20.0	33.25	1.0		
NeferkhewetX			1c				20.0	24.3	1.0		
DeM 1372								21.1			
DeM 1373							5.0	21.2		cm	1.0
DeM 1374							5.0	21.3		c	1.0
DeM 1375			cf				20.0	21.4	1.0		
DeM 1376							5.0	21.5		?	1.0
DeM 1377			?				20.0	21.6	1.0		
DeM 1378							5.0	21.7		c	1.0
DeM 1383							5.0	21.8		c	1.0
DeM 1384			c				20.0	21.9	1.0		
DeM 1390			cm				20.0	21.95	1.0		
DeM 1372a	cf						20.0	21.11	1.0		
DeM 1372b	cf						20.0	21.12	1.0		
DeM 1372c			cf				20.0	21.13	1.0		
Sn Man							5.0	22.4		m(c?)	1.0
