tomb	mask	canopics	cage	statues	fun_beds	chest	chest2	canopicsAlab	canopics_mask	total_cost	shrines	pall	rank
Yuya	1.0		1.0	1.0		1.0		1.0	1.0	385		1.0	2.1
Tuya	1.0		1.0			1.0		1.0	1.0	370		1.0	2.2
Merit	1.0									85		1.0	4.2
Sennofer	1.0									85		1.0	12.1
Hatiay	1.0									35			10.05
Hentut�u	1.0									35			10.1
Khay	1.0									35			6.0
Hatnofer	1.0	1.0					1.0			125		1.0	8.0
N Man	1.0									35			13.0
Neferkhewet		1.0				1.0				165		1.0	9.0
Renofer		1.0				1.0				165		1.0	9.1
Ruyu		1.0				1.0				165		1.0	9.4
Harmose		1.0								20			22.0
Tahuty		1.0								20			32.1
Ahotep		1.0								20			32.2
Tutankhamen	1.0		1.0	336.0	4.0	70.0		2.0	40.0	16280	4.0	10.0	1.0
Kha										50		1.0	4.1
HatnoferIII										50		1.0	23.0
HatnoferIV										50		1.0	23.1
Ramose										50		1.0	8.1
Boki										50		1.0	9.3
Amenemhet										50		1.0	9.5
Maya										50		1.0	14.1
M Man										50		1.0	14.2
Nub										50		1.0	15.0
DeM 1372a										50		1.0	21.11
DeM 1372b										50		1.0	21.12
DeM 1372c										50		1.0	21.13
DeM 1373										50		1.0	21.2
DeM 1374										50		1.0	21.3
DeM 1375										50		1.0	21.4
DeM 1377										50		1.0	21.6
DeM 1380										50		1.0	17.0
DeM 1381										50		1.0	18.0
DeM 1389										50		1.0	21.0
Iabtina										50		1.0	16.1
Sanimay										50		1.0	16.2
Nubeity										50		1.0	19.05
NuMan										50		1.0	19.1
NuWoman										50		1.0	19.2
Sat-Re�										50		1.0	20.1
SRWoman										50		1.0	20.2
