tomb	total_cost	[amulet]	amulet	costly	heart	misc	rank
Yuya	88.0	1.0	1.0	1.0	1.0	1.0	2.1
Mahirper	914.0		5.0	20.0	1.0	14.0	3.0
Kha	256.0		2.0	5.0	1.0		4.1
Merit	160.0			4.0			4.2
Nakht	36.0				1.0		5.0
Khay	36.0				1.0		6.0
Hatnofer	184.0			3.0	1.0	14.0	8.0
Neferkhewet	92.0			1.0	1.0	8.0	9.0
Renofer	94.0			2.0		7.0	9.1
Boki	38.0				1.0	1.0	9.3
Ruyu	88.0			1.0	1.0	6.0	9.4
Amenemhet	42.0			1.0		1.0	9.5
Hatiay	120.0	2.0		2.0	1.0	2.0	10.05
Hentut'u	80.0	1.0		1.0	1.0	2.0	10.1
Siamun	52.0			1.0		6.0	10.2
Mahy(?)	2.0					1.0	10.3
Setau	40.0			1.0			11.1
Taat	40.0			1.0			11.2
SetauAnon	116.0		1.0	2.0		13.0	11.4
SetauInfant	40.0			1.0			11.5
Sennofer	118.0	1.0		2.0	1.0	1.0	12.1
Nefertiti	200.0			5.0			12.2
N Woman	40.0			1.0			13.1
M+	6.0					3.0	14.0
Nub	106.0			2.0		13.0	15.0
DeM 1380	194.0			3.0		37.0	17.0
DeM 1381	52.0			1.0		6.0	18.0
Nubeity	46.0			1.0		3.0	19.05
Sat-Re'	52.0			1.0		6.0	20.1
DeM 1389	48.0			1.0		4.0	21.0
Petrie	404.0			10.0		2.0	7.0
Amenhotep	48.0			1.0		4.0	22.1
Sn Woman old 	2.0					1.0	22.3
HatnoferIII 2f 2c	96.0			2.0		8.0	23.0
NeferkhewetX	2.0					1.0	24.3
Mentuhotep	2.0					1.0	28.0
#71 f	2.0					1.0	27.4
#75 f	2.0					1.0	27.5
#83a c	80.0			2.0			36.1
#78 f	166.0			4.0		3.0	30.2
#77a m	40.0			1.0			30.15
#79 f	40.0			1.0			30.3
Tahuty	52.0	1.0	1.0	1.0		1.0	32.1
Ahotep	40.0				1.0	2.0	32.2
T&A	2.0					1.0	32.0
# 21 m	40.0			1.0			33.1
# 22 f	4.0					2.0	33.2
# 31 c	8.0					4.0	33.3
# 34 ?	2.0					1.0	33.4
# 36 ?	2.0					1.0	33.5
# 37 f	2.0					1.0	33.6
# 38 ?	2.0					1.0	33.7
# 43 c	2.0					1.0	33.8
# 47 f	10.0					5.0	33.9
# 49 m f	2.0					1.0	34.1
# 50 c	42.0	1.0		1.0		1.0	34.2
# 51 c	40.0			1.0			34.3
# 52 f	4.0					2.0	34.4
# 53 m	130.0			3.0		5.0	34.5
# 55 2? c	4.0					2.0	34.6
# 57 3?	4.0					2.0	34.7
# 59 f m c ?	4.0					2.0	34.8
# 62a c	18.0		1.0			4.0	34.91
# 63a f	4.0					2.0	35.11
# 64 m	40.0			1.0			35.2
Tutankhamen	12316.0	107.0		307.0	1.0		1.0
Tuya	154.0	1.0	4.0	1.0	2.0	1.0	2.2
NuWoman	124.0			3.0		2.0	19.2
NuMan							19.1
Nu+	30.0					15.0	19.0
Maya	12.0					6.0	14.1
M Man	2.0					1.0	14.2
Iabtina							16.1
Sanimay	16.0					8.0	16.2
SR+	2.0					1.0	20.0
HatnoferIV f c	48.0			1.0		4.0	23.1
# 59a f	6.0					3.0	34.81
# 59d ?	4.0					2.0	34.82
# 62b ?	4.0					2.0	34.92
#76 f	2.0					1.0	27.6
#83b c	6.0					3.0	36.2
#83c c	4.0					2.0	36.3
DeM 1376	10.0					5.0	21.5
DeM 1373	2.0					1.0	21.2
DeM 1372a	8.0					4.0	21.11
DeM 1372c	2.0					1.0	21.13
#18 ?	42.0			1.0		1.0	31.0
