tomb	rank	ambig_feature_cost?
Tutankhamen	1.0	94339.0
Y&T	2.0	1990.0
Yuya	2.1	1742.0
Tuya	2.2	1051.0
Mahirper	3.0	2313.5
K&M	4.0	3752.0
Kha	4.1	964.5
Merit	4.2	561.5
Nakht	5.0	292.0
Khay	6.0	223.0
Petrie	7.0	565.5
Hatnofer	8.0	2838.5
Ramose	8.1	95.0
Neferkhewet	9.0	1105.5
Renofer	9.1	365.5
B+	9.2	572.0
Boki	9.3	340.0
Ruyu	9.4	308.0
Amenemhet	9.5	252.5
H+	10.0	18.0
Hatiay	10.05	358.0
Hentutu	10.1	175.0
Siamun	10.2	179.5
Mahy()	10.3	115.0
S+	11.0	89.0
Taat	11.2	138.0
Bakiset	11.3	105.0
Setau	11.4	228.5
Setau - Anon	11.4	211.0
Setau Infant	11.5	154.5
S&N	12.0	264.0
Sennofer	12.1	268.0
Nefertiti	12.2	295.0
N Man	13.0	235.0
N Woman	13.1	154.5
M+	14.0	394.5
Maya	14.1	72.5
M Man	14.2	70.0
Nub	15.0	302.5
I+	16.0	228.0
Iabtina	16.1	58.0
Sanimay	16.2	66.0
DeM 1380	17.0	583.5
DeM 1381 	18.0	219.5
Nubeity	19.05	118.0
NuMan	19.1	40.0
NuWoman	19.2	94.0
SR+	20.0	354.0
Sat-Re�	20.1	103.0
SRWoman	20.2	40.0
DeM 1389	21.0	416.5
Harmose	22.0	89.0
Amenhotep	22.1	116.0
Sn Woman	22.2	55.0
Sn Woman old	22.3	45.0
Other Hatnofer	23.0	24.0
Other Neferkhewet	24.0	22.0
Mentuhotep	28.0	113.0
Aahmes	29.0	101.0
T&A	32.0	2.0
Tahuty	32.1	232.0
Ahotep	32.2	217.0
'# 21'	33.1	65.0
'# 22'	33.2	24.0
'# 31'	33.3	30.0
'# 34'	33.4	22.0
'# 36'	33.5	22.0
'# 37'	33.6	113.0
'# 38'	33.7	22.0
'# 43'	33.8	22.0
'# 47'	33.9	30.0
'# 49'	34.1	22.0
'# 50'	34.2	62.0
'# 51'	34.3	61.0
'# 52'	34.4	24.0
'# 53'	34.5	155.0
'# 55'	34.6	24.0
'# 57'	34.7	29.0
'# 59'	34.8	29.0
'#62'	34.9	62.0
'# 63'	35.1	52.5
'# 64'	35.2	110.0
