tomb	staff	sandals	clothes	fans	linen_1	linen_2	linen_3	linen_sp	total_cost	rank
DeM 1372		1.0							2	21.1
Y&T		10.0							20	2.0
Yuya	1.0				3.0				61	2.1
Tuya	1.0								1	2.2
K&M	4.0	3.0			30.0	50.0	17.0	2.0	1545	4.0
Hatnofer		1.0			24.0	40.0	18.0	2.0	1272	8.0
Neferkhewet	2.0				8.0	13.0	4.0		377	9.0
Hatiay	2.0								2	10.05
Siamun		2.0							4	10.2
Mahy (?)	1.0								1	10.3
Setau	2.0	1.0							4	11.1
Taat	2.0								2	11.2
S&N	2.0	1.0		1.0					34	12.0
M+	1.0	2.0	2.0						45	14.0
I+	4.0	1.0	1.0						26	16.0
DeM 1380	1.0	4.0	1.0						29	17.0
DeM 1381		2.0							4	18.0
Nu+		3.0	2.0						46	19.0
SR+		2.0							4	20.0
DeM 1389	9.0	4.0							17	21.0
Harmose	2.0								2	22.0
Amenhotep	1.0	1.0							3	22.1
Tahuty	1.0								1	32.1
'18 ?'		1.0		1.0					32	31.0
'59d ?'	1.0								1	34.82
64	1.0		2.0						41	35.2
Tutankhamen	130.0	93.0	36.0	8.0				200.0	11276	1.0
Kha			1.0						20	4.1
Merit			1.0						20	4.2
B+					8.0	13.0	4.0		375	9.2
Nubeity		1.0							2	19.05
DeM 1376		1.0							2	21.5
