tomb	razor	knife	tweez	vessel	mirror	comb	bowl	pin	baton	total_cost	rank
Tuya				1.0	1.0					14.0	2.2
Mahirper				2.0			1.0			5.5	3.0
Kha	3.0	3.0		2.0		1.0			1.0	18.0	4.1
Merit	1.0	1.0		10.0		3.0	1.0		2.0	30.5	4.2
Nakht				4.0	1.0				3.0	23.0	5.0
Khay											6.0
Hatnofer	2.0			5.0	3.0		3.0		2.0	56.5	8.0
Neferkhewet	1.0	3.0		4.0					2.0	18.0	9.0
Renofer	1.0	2.0		6.0	1.0	2.0	3.0	2.0	1.0	39.5	9.1
Ruyu	1.0	2.0		3.0	1.0	2.0	4.0	2.0	3.0	37.0	9.4
Amenemhet	1.0	2.0		6.0					1.0	19.0	9.5
Boki	1.0	2.0		4.0					1.0	15.0	9.3
Siamun				3.0	1.0	1.0	1.0	1.0	7.0	28.5	10.2
Mahy				2.0	1.0	1.0				17.0	10.3
SetauInfant				7.0		3.0	1.0	1.0		19.5	11.5
S&N				2.0						4.0	12.0
N Woman				7.0		3.0	1.0	1.0		19.5	13.1
M+	1.0			1.0					3.0	7.0	14.0
Nub				2.0	1.0			2.0	2.0	20.0	15.0
I+	1.0			1.0			1.0			5.5	16.0
DeM 1380	2.0			3.0					1.0	11.0	17.0
DeM 1381	1.0			3.0		4.0		1.0	2.0	15.0	18.0
Nu+				4.0					1.0	9.0	19.0
Sat-Re	1.0			2.0			2.0		2.0	11.0	20.1
DeM 1389	1.0			1.0					1.0	5.0	21.0
Harmose				1.0						2.0	22.0
Sn Woman				1.0						2.0	22.2
Sn Woman-old				1.0					1.0	3.0	22.3
Petrie				1.0			1.0			3.5	7.0
Tahuty		1.0								2.0	32.1
Ahotep			3.0						1.0	7.0	32.2
'# 18  ?'		1.0	1.0	3.0	1.0				3.0	25.0	31.0
'# 31 c'				1.0						2.0	33.3
'# 53 m'				1.0			2.0			5.0	34.5
'# 63a f'				1.0		1.0	1.0			4.5	35.11
'# 64 m'		1.0		1.0						4.0	35.2
'# 65a f'							1.0			1.5	35.31
'Aahmes'				2.0		1.0		1.0		6.0	29.0
'# 70 f'					1.0					12.0	27.3
'# 71 f'				1.0		1.0			2.0	5.0	27.4
'# 78 f'				4.0		1.0				9.0	30.2
Maya				2.0	1.0	2.0	1.0	1.0		20.5	14.1
M Man				1.0						2.0	14.2
Iabtina				1.0					1.0	3.0	16.1
Nubeity				4.0	0.5	1.0	1.0	1.0	0.5	18.0	19.05
Tutankhamen	4.0			83.0	2.0				2.0	200.0	1.0
NuWoman				2.0	0.5	1.0	1.0	1.0	0.5	14.0	19.2
DeM 1375				2.0		2.0		2.0		8.0	21.4
DeM 1376								1.0		1.0	21.5
DeM 1377				2.0		1.0		1.0		6.0	21.6
