Y&T,1,,5,135,2
Mahirper,,,1,25,3
K&M,9,1,,93,4
Hatnofer,3,7,,51,8
B+,1,,,10,9.2
H+,1,1,,13,10
S+,1,3,,19,11
S&N,1,,,10,12
M+,2,8,1,69,14
Nub,4,3,,49,15
I+,,7,,21,16
DeM 1380,1,6,,28,17
DeM 1381,1,5,1,50,18
Nu+,1,15,2,105,19
SR+,,7,,21,20
DeM 1389,,3,,9,21
Petrie,1,2,,16,7
Sn Woman,,1,,3,22.2
Tomb 37-AG,1,8,,34,40
Tutankhamen,,116,50,1598,1
Renofer,,1,,3,9.1
Neferkhewet,1,2,,16,9
Boki,,1,,3,9.3
Ruyu,,2,,6,9.4
Amenemhet,,1,,3,9.5
Kha,3,3,1,64,4.1
Merit,1,2,1,41,4.2
#53 m,,,1,25,34.5
#59 f - m - c - ?,,1,,3,34.8
#78 f,,2,,6,30.2
#71 f,,1,,3,27.4
#83b c,,1,,3,36.2
DeM 1372,2,2,,26,21.1
DeM 1375,,1,,3,21.4
DeM 1376,1,2,,16,21.5
DeM 1377,,1,1,28,21.6
DeM 1378,,1,,3,21.7
#18 ?,,3,,9,31
SetauAnon,1,,,10,11.4
