Yuya,3m,,1m,2,2,,590,2.1,,,
Tuya,2f,,1f,2,1,,495,2.2,,,
Mahirper,3m,,1m,2,2,,590,3,,,
K&M,,,,,,,,4,,,
Merit,1f,,1f,1,1,,295,4.2,,,
Nakht,,1m,1m,,1,1,135,5,,,
Khay,,1m,,,1,,95,6,,,
Hatnofer,1m,,,,1,,95,8,,,
Neferkhewet,1m,,,,1,,95,9,,,
Hatiay,1m,,,,1,,95,10.05,,,
S+,,,,,,,,11,,,
S&N,,,,,,,,12,,,
N Man,1m,,,,1,,95,13,,,
M+,,,,,,,,14,,,
Nub,1f,,,,,1,40,15,,,
I+,,,,,,,,16,,,
DeM 1380,1f,,,,,1,40,17,,,
DeM 1381,1f,,,,,1,40,18,,,
Nubeity,,,1f,,,1,40,19.05,,,
SR+,,,,,,,,20,,,
DeM 1389,1m,,,,,1,40,21,,,
Harmose,1m,,,,,1,40,22,,,
HatnoferIII 2f 2c,,,1#,,,,20,23,1,,
NeferkhewetVIII,,,1f,,,,20,24,1,,
Mentuhotep,,,1,,1,,95,28,,,
Aahmes,,,1,,1,,95,29,,,
Tahuty,1,,,,1,,95,32.1,,,
Ahotep,1,,,,1,,95,32.2,,,
Tutankhamen,,3m,1m,200,70,,46650,1,,,
Renofer,,1f,,,1,,95,9.1,,,
Boki,1m,,,,1,,95,9.3,,,
Ruyu,1f,,,,1,,95,9.4,,,
Amenemhet,1m,,,,1,,95,9.5,,,
Hentut�u,1f,,,,1,,95,10.1,,,
Siamun,1f,,,,1,,95,10.2,,,
Mahy,1f,,,,1,,95,10.3,,,
Taat,1f,,,,1,,95,11.2,,,
SetauAnon,1f,,,,1,,95,11.4,,,
SetauInfant ,1,,,,1,,95,11.5,,,
Bakiset,1f,,,,1,,95,11.3,,,
N Woman  ,,,1f,,1,,95,13.1,,,
M Man,,,1m,,,1,40,14.2,,,
Sanimay,,,1m,,,1,40,16.2,,,
NuMan,,,1m,,,1,40,19.1,,,
NuWoman,,,1f,,,1,40,19.2,,,
Sat-Re',,,1f,,,1,40,20.1,,,
Amenhotep,,,1m,,,1,40,22.1,,,
Sn Woman,1f,,,,,1,40,22.2,,,
Sn Woman old,,,1f,,,1,40,22.3,,,
HatnoferIV f c,,,1#,,,,20,23.1,1,,
NeferkhewetVII,,,1c,,,,20,24.1,1,,
NeferkhewetIX,,,1c,,,,20,24.2,1,,
Ramose,1m,,,,1,,95,8.1,,,
Y&T,,,,,,,,2,,,
Kha,2m,,1m,2,1,,495,4.1,,,
Setau,1m,,,,1,,95,11.1,,,
Sennofer,1m,,,,1,,95,12.1,,,
Nefertiti,1f ,,,,1,,95,12.2,,,
Maya,1f,,,,,1,40,14.1,,,
Iabtina,1f,,,,,1,40,16.1,,,
SRWoman,,,1f,,,1,40,20.2,,,
B+,,,,,,,,9.2,,,
H+,,,,,,,,10,,,
Nu+,,,,,,,,19,,,
T&A,,,,,,,,32,,,
#21 m,,,,,,,20,33.1,1,,
#22 f,,,,,,,20,33.2,1,,
#31 c,,,,,,,20,33.3,1,,
#34 ?,,,,,,,20,33.4,1,,
#36 ?,,,,,,,20,33.5,1,,
#37 f,,,,,,,20,33.6,1,,
#38 ?,,,,,,,20,33.7,1,,
#43 c,,,,,,,20,33.8,1,,
#47 f,,,,,,,20,33.9,1,,
#49 m f,,,,,,,20,34.1,1,,
#50 c,,,,,,,20,34.2,1,,
#51 c,,,,,,,20,34.3,1,,
#52 f,,,,,,,20,34.4,1,,
#53 m,,,,,,,20,34.5,1,,
#55 2? c,,,,,,,20,34.6,1,,
#57 3?,,,,,,,20,34.7,1,,
#59 f m c ?,,,,,,1,40,34.8,,,
#62 2? c,,,,,,,20,34.9,1,,
#63 f m,,,,,,1,40,35.1,,,
#64 m,,,,,,,20,35.2,1,,
Petrie,,1f,,,1,,95,7,,,
#68 m,1,,,,,1,40,27.1,,,
#77 m 2c,,,1,,,,20,30.1,1,,
#78 f,,,1,,,,20,30.2,1,,
#83 3c,,,,,,,20,36,1,,
#59a f,,,,,,,,34.81,,,
#59d ?,,,,,,,,34.82,,,
#62a c,,,,,,,,34.91,,,
#62b ?,,,,,,,,34.92,,,
#63a f,,,,,,,,35.11,,,
#66 m,,,,,,1,40,35.4,,,
#65 m f,,,,,,,20,35.3,1,,
#65a f,,,,,,,,35.31,,,
#18 ?,1,,,,,1,40,31,,,
#69 f,,,1,,,,20,27.2,1,,
#70 f,,1,,,,1,40,27.3,,,
#71 f,,,1,,,,20,27.4,1,,
#75 f,,,1,,,,20,27.5,1,,
#76 f,,,1,,,,20,27.6,1,,
#79 f,,,1,,,,20,30.3,1,,
#80 c,,,1,,,,20,30.4,1,,
#77a m,,,,,,,,30.15,,,
#83a c,,,,,,,,36.1,,,
#83b c,,,,,,,,36.2,,,
#83c c,,,,,,,,36.3,,,
#67 c,,,1,,,,20,35.5,1,,
#60 f,,1,,,,1,40,34.85,,,
#61 c,,,1,,,,20,34.86,1,,
#58 m,,,,,,,20,34.75,1,,
#56 c,,,,,,,20,34.65,1,,
#48 m,,,,,,,20,33.95,1,,
#44 c,,,,,,,20,33.85,1,,
#45 c,,,,,,,20,33.86,1,,
#46 m,,,,,,,20,33.87,1,,
#40 c,,,,,,,20,33.75,1,,
#41 c,,,,,,,20,33.76,1,,
#42 c,,,,,,,20,33.77,1,,
#35 ?,,,,,,1,40,33.45,,,
#29 c,,,,,,,20,33.25,1,,
#30 c,,,,,,,20,33.25,1,,
NeferkhewetX,,,1c,,,,20,24.3,1,,
DeM 1372,,,,,,,,21.1,,,
DeM 1373,,,,,,,5,21.2,,cm,1
DeM 1374,,,,,,,5,21.3,,c,1
DeM 1375,,,cf,,,,20,21.4,1,,
DeM 1376,,,,,,,5,21.5,,?,1
DeM 1377,,,?,,,,20,21.6,1,,
DeM 1378,,,,,,,5,21.7,,c,1
DeM 1383,,,,,,,5,21.8,,c,1
DeM 1384,,,c,,,,20,21.9,1,,
DeM 1390,,,cm,,,,20,21.95,1,,
DeM 1372a,cf,,,,,,20,21.11,1,,
DeM 1372b,cf,,,,,,20,21.12,1,,
DeM 1372c,,,cf,,,,20,21.13,1,,
Sn Man,,,,,,,5,22.4,,m(c?),1
