Tutankhamen,1,94339
Y&T,2,1990
Yuya,2.1,1742
Tuya,2.2,1051
Mahirper,3,2313.5
K&M,4,3752
Kha,4.1,964.5
Merit,4.2,561.5
Nakht,5,292
Khay,6,223
Petrie,7,565.5
Hatnofer,8,2838.5
Ramose,8.1,95
Neferkhewet,9,1105.5
Renofer,9.1,365.5
B+,9.2,572
Boki,9.3,340
Ruyu,9.4,308
Amenemhet,9.5,252.5
H+,10,18
Hatiay,10.05,358
Hentutu,10.1,175
Siamun,10.2,179.5
Mahy(),10.3,115
S+,11,89
Taat,11.2,138
Bakiset,11.3,105
Setau,11.4,228.5
Setau - Anon,11.4,211
Setau Infant,11.5,154.5
S&N,12,264
Sennofer,12.1,268
Nefertiti,12.2,295
N Man,13,235
N Woman,13.1,154.5
M+,14,394.5
Maya,14.1,72.5
M Man,14.2,70
Nub,15,302.5
I+,16,228
Iabtina,16.1,58
Sanimay,16.2,66
DeM 1380,17,583.5
DeM 1381 ,18,219.5
Nubeity,19.05,118
NuMan,19.1,40
NuWoman,19.2,94
SR+,20,354
Sat-Re�,20.1,103
SRWoman,20.2,40
DeM 1389,21,416.5
Harmose,22,89
Amenhotep,22.1,116
Sn Woman,22.2,55
Sn Woman old,22.3,45
Other Hatnofer,23,24
Other Neferkhewet,24,22
Mentuhotep,28,113
Aahmes,29,101
T&A,32,2
Tahuty,32.1,232
Ahotep,32.2,217
'# 21',33.1,65
'# 22',33.2,24
'# 31',33.3,30
'# 34',33.4,22
'# 36',33.5,22
'# 37',33.6,113
'# 38',33.7,22
'# 43',33.8,22
'# 47',33.9,30
'# 49',34.1,22
'# 50',34.2,62
'# 51',34.3,61
'# 52',34.4,24
'# 53',34.5,155
'# 55',34.6,24
'# 57',34.7,29
'# 59',34.8,29
'#62',34.9,62
'# 63',35.1,52.5
'# 64',35.2,110
